SPE 	43.53174351150536	 +- 	0.02538520077400502
light_yield_pre_PID 	670.9527914860853	 +- 	1.415006268109218
light_yield_pre_PID 	670.9527914860853	 +- 	1.415006268109218
light_yield_pre_PID 	670.7076431355179	 +- 	1.3939699977783353
light_yield_pre_PID 	670.7285847893734	 +- 	1.4037320007188094
light_yield_pre_PID 	671.0862403315339	 +- 	1.4355675955767973
light_yield_pre_PID 	670.1910669922681	 +- 	1.4851598545410791
light_yield_pre_PID 	670.1910669922681	 +- 	1.4851598545410791
light_yield_pre_PID 	670.1910669922681	 +- 	1.4851598545410791
light_yield_pre_PID 	670.1910669922681	 +- 	1.4851598545410791
light_yield_pre_PID 	670.1910669922681	 +- 	1.4851598545410791
light_yield_post_PID 	669.8878559915174	 +- 	1.342060062423507
