SPE 	51.83567803515588	 +- 	0.050999071811083256
light_yield_LED_calib 	33.98541855006976	 +- 	0.013406925735108427
SPE 	55.64654027751013	 +- 	0.15057813532589237
SPE 	55.64654027751013	 +- 	0.15057813532589237
SPE 	55.64654027751013	 +- 	0.15057813532589237
light_yield 	6.244767208125122	 +- 	0.008214080753731258
SPE 	55.64654027751013	 +- 	0.15057813532589237
light_yield 	6.244767208125122	 +- 	0.008214080753731258
light_yield 	6.244767208125122	 +- 	0.008214080753731258
light_yield 	6.244767208125122	 +- 	0.008214080753731258
SPE 	51.83567803515588	 +- 	0.050999071811083256
light_yield_LED_calib 	37.43562727049608	 +- 	0.009349703483484998
time 2026-03-31 18:13
