SPE 	43.609483916552165	 +- 	0.024257944468234958
light_yield_pre_PID 	673.9326294209937	 +- 	1.6503467249269301
light_yield_post_PID 	675.7531269815399	 +- 	1.4777262155950381
SPE 	43.609483916552165	 +- 	0.024257944468234958
light_yield_pre_PID 	673.9326294209937	 +- 	1.6503467249269301
light_yield_post_PID 	675.7531269815399	 +- 	1.4777262155950381
light_yield_post_PID 	675.7531269815399	 +- 	1.4777262155950381
light_yield_post_PID 	675.7531269815399	 +- 	1.4777262155950381
triplet_lifetime_ER+alpha 	1291.6773730790235	 +- 	36.603238332287596
triplet_lifetime_ER 	1306.8995370591333	 +- 	40.87370428541275
triplet_lifetime_alpha 	1154.480089450488	 +- 	349.9270699622814
SPE 	43.609483916552165	 +- 	0.024257944468234958
SPE 	43.609483916552165	 +- 	0.024257944468234958
